T1,T1 Outcome,T1 Score,T1 Location,T1 Avg Points,T1 Avg Yards,T1 NPY/A,T1 NRY/A,T1 3rd,T1 4th,T1 Avg Points Def,T1 Avg Yards Def,T1 NPY/A Def,T1 NRY/A Def,T1 3rd Def,T1 4th Def,T2,T2 Outcome,T2 Score,T2 Location,T2 Avg Points,T2 Avg Yards,T2 NPY/A,T2 NRY/A,T2 3rd,T2 4th,T2 Avg Points Def,T2 Avg Yards Def,T2 NPY/A Def,T2 NRY/A Def,T2 3rd Def,T2 4th Def
Los Angeles Rams,1,0,Away,23.25,377,6.5,4.3,0.43,0.47,18.5,281.9375,5.1,3.8,0.35,0.43,Green Bay Packers,0,0,Home,31.8125,389,7.5,4.8,0.49,0.62,23.0625,334,6.1,4.5,0.40,0.58
Baltimore Ravens,1,0,Away,29.25,363.125,6.3,5.5,0.49,0.63,18.9375,329.75,5.6,4.6,0.34,0.46,Buffalo Bills,0,0,Home,31.3125,396.4375,7.4,4.2,0.50,0.80,23.4375,352.5,6.1,4.6,0.40,0.58
Cleveland Browns,1,0,Away,25.5,369.5625,6.7,4.8,0.45,0.33,26.1875,358.4375,6.4,4.3,0.44,0.82,Kansas City Chiefs,0,0,Home,29.5625,415.8125,7.4,4.5,0.49,0.56,22.625,358.3125,6.4,4.5,0.41,0.65
New Orleans Saints,0,0,Home,30.125,376.4375,6.8,4.6,0.45,0.69,21.0625,310.875,5.8,3.9,0.38,0.53,Tampa Bay Buccaneers,1,0,Away,30.75,384.0625,7.1,4.1,0.44,0.57,22.1875,327.125,5.9,3.6,0.40,0.56
