T1,T1 Outcome,T1 Score,T1 Location,T1 Avg Points,T1 Avg Yards,T1 NPY/A,T1 NRY/A,T1 3rd,T1 4th,T1 Avg Points Def,T1 Avg Yards Def,T1 NPY/A Def,T1 NRY/A Def,T1 3rd Def,T1 4th Def,T2,T2 Outcome,T2 Score,T2 Location,T2 Avg Points,T2 Avg Yards,T2 NPY/A,T2 NRY/A,T2 3rd,T2 4th,T2 Avg Points Def,T2 Avg Yards Def,T2 NPY/A Def,T2 NRY/A Def,T2 3rd Def,T2 4th Def
Tampa Bay Buccaneers,1,0,Away,30.75,384.0625,7.1,4.1,0.435,0.571,22.1875,327.125,5.9,3.6,0.4,0.56,Green Bay Packers,0,0,Home,31.8125,389,7.5,4.8,0.494,0.619,23.0625,334,6.1,4.5,0.395,0.583
Buffalo Bills,1,0,Away,31.3125,396.4375,7.4,4.2,0.497,0.8,23.4375,352.5,6.1,4.6,0.398,0.579,Kansas City Chiefs,0,0,Home,29.5625,415.8125,7.4,4.5,0.49,0.563,22.625,358.3125,6.4,4.5,0.41,0.65
